,X,Y,time,distance,ts,dt,speed_m_s,speed_kmh
1478,-0.05288084,51.494424306,2025/01/14 07:52:26+00,4.768705686093998,2025-01-14 07:52:26+00:00,1.0,4.768705686093998,17.167340469938395
1479,-0.052923672,51.494420031,2025/01/14 07:52:27+00,4.786364704089544,2025-01-14 07:52:27+00:00,1.0,4.786364704089544,17.230912934722358
1480,-0.052968683,51.494417014,2025/01/14 07:52:28+00,5.016225356066951,2025-01-14 07:52:28+00:00,1.0,5.016225356066951,18.058411281841025
1481,-0.053013694,51.49441408,2025/01/14 07:52:29+00,5.015616580896666,2025-01-14 07:52:29+00:00,1.0,5.015616580896666,18.056219691227998
1482,-0.053057782,51.494412068,2025/01/14 07:52:30+00,4.90746420502275,2025-01-14 07:52:30+00:00,1.0,4.90746420502275,17.666871138081902
1483,-0.053101871,51.494410224,2025/01/14 07:52:31+00,4.90675916249795,2025-01-14 07:52:31+00:00,1.0,4.90675916249795,17.664332984992622
1484,-0.053142942,51.494406117,2025/01/14 07:52:32+00,4.589663338015955,2025-01-14 07:52:32+00:00,1.0,4.589663338015955,16.522788016857437
1485,-0.053184098,51.494402094,2025/01/14 07:52:33+00,4.598150013807089,2025-01-14 07:52:33+00:00,1.0,4.598150013807089,16.553340049705522
1486,-0.053225923,51.494397903,2025/01/14 07:52:34+00,4.674017721945003,2025-01-14 07:52:34+00:00,1.0,4.674017721945003,16.826463799002013
1487,-0.053267833,51.494393796,2025/01/14 07:52:35+00,4.682502112189114,2025-01-14 07:52:35+00:00,1.0,4.682502112189114,16.857007603880813
1488,-0.053310748,51.494393125,2025/01/14 07:52:36+00,4.772513539342843,2025-01-14 07:52:36+00:00,1.0,4.772513539342843,17.181048741634235
1489,-0.053353664,51.494392371,2025/01/14 07:52:37+00,4.772777924051636,2025-01-14 07:52:37+00:00,1.0,4.772777924051636,17.182000526585888
1490,-0.053393897,51.494395891,2025/01/14 07:52:38+00,4.490794961915755,2025-01-14 07:52:38+00:00,1.0,4.490794961915755,16.16686186289672
1491,-0.05343413,51.494399412,2025/01/14 07:52:39+00,4.490804654636626,2025-01-14 07:52:39+00:00,1.0,4.490804654636626,16.166896756691852
1492,-0.053474195,51.49440771,2025/01/14 07:52:40+00,4.549572688172273,2025-01-14 07:52:40+00:00,1.0,4.549572688172273,16.378461677420184
1493,-0.053514177,51.494416008,2025/01/14 07:52:41+00,4.540535693309715,2025-01-14 07:52:41+00:00,1.0,4.540535693309715,16.345928495914972
1494,-0.053558266,51.494426737,2025/01/14 07:52:42+00,5.045544093090311,2025-01-14 07:52:42+00:00,1.0,5.045544093090311,18.16395873512512
1495,-0.053602355,51.494437382,2025/01/14 07:52:43+00,5.043343745072243,2025-01-14 07:52:43+00:00,1.0,5.043343745072243,18.156037482260075
1496,-0.053647785,51.494453475,2025/01/14 07:52:44+00,5.359167879710616,2025-01-14 07:52:44+00:00,1.0,5.359167879710616,19.29300436695822
1497,-0.053693298,51.494469736,2025/01/14 07:52:45+00,5.3741246097466435,2025-01-14 07:52:45+00:00,1.0,5.3741246097466435,19.346848595087916
1498,-0.053734118,51.494489769,2025/01/14 07:52:46+00,5.056121639150018,2025-01-14 07:52:46+00:00,1.0,5.056121639150018,18.202037900940066
1499,-0.053775022,51.494509885,2025/01/14 07:52:47+00,5.0685744680030265,2025-01-14 07:52:47+00:00,1.0,5.0685744680030265,18.246868084810895
1500,-0.053810142,51.494525727,2025/01/14 07:52:48+00,4.284084018310598,2025-01-14 07:52:48+00:00,1.0,4.284084018310598,15.422702465918155
1501,-0.053845346,51.494541569,2025/01/14 07:52:49+00,4.2925999734826705,2025-01-14 07:52:49+00:00,1.0,4.2925999734826705,15.453359904537614
1502,-0.053877952,51.494553303,2025/01/14 07:52:50+00,3.85324976418426,2025-01-14 07:52:50+00:00,1.0,3.85324976418426,13.871699151063336
1503,-0.053910557,51.494565122,2025/01/14 07:52:51+00,3.8563559019275195,2025-01-14 07:52:51+00:00,1.0,3.8563559019275195,13.882881246939071
1504,-0.05394442,51.494575432,2025/01/14 07:52:52+00,3.936047182995022,2025-01-14 07:52:52+00:00,1.0,3.936047182995022,14.16976985878208
1505,-0.053978367,51.494585825,2025/01/14 07:52:53+00,3.947675420293315,2025-01-14 07:52:53+00:00,1.0,3.947675420293315,14.211631513055934
1506,-0.054012062,51.494599739,2025/01/14 07:52:54+00,4.053588516026194,2025-01-14 07:52:54+00:00,1.0,4.053588516026194,14.592918657694298
1507,-0.054045757,51.494613569,2025/01/14 07:52:55+00,4.050032703672142,2025-01-14 07:52:55+00:00,1.0,4.050032703672142,14.58011773321971
1508,-0.054076351,51.494630333,2025/01/14 07:52:56+00,3.879132323324415,2025-01-14 07:52:56+00:00,1.0,3.879132323324415,13.964876363967894
1509,-0.054107029,51.494647013,2025/01/14 07:52:57+00,3.8828558851840453,2025-01-14 07:52:57+00:00,1.0,3.8828558851840453,13.978281186662564
1510,-0.054138377,51.494664531,2025/01/14 07:52:58+00,3.9930857632040286,2025-01-14 07:52:58+00:00,1.0,3.9930857632040286,14.375108747534503
1511,-0.054169642,51.494682133,2025/01/14 07:52:59+00,3.9896057136501524,2025-01-14 07:52:59+00:00,1.0,3.9896057136501524,14.36258056914055
1512,-0.054196464,51.494697891,2025/01/14 07:53:00+00,3.459098893028436,2025-01-14 07:53:00+00:00,1.0,3.459098893028436,12.45275601490237
1513,-0.054223286,51.494713817,2025/01/14 07:53:01+00,3.4685990297644995,2025-01-14 07:53:01+00:00,1.0,3.4685990297644995,12.486956507152199
1514,-0.054245666,51.49472882,2025/01/14 07:53:02+00,2.995984664295204,2025-01-14 07:53:02+00:00,1.0,2.995984664295204,10.785544791462735
1515,-0.054268045,51.494743824,2025/01/14 07:53:03+00,2.995954222772731,2025-01-14 07:53:03+00:00,1.0,2.995954222772731,10.785435201981832
1516,-0.054289671,51.494756564,2025/01/14 07:53:04+00,2.790951304719909,2025-01-14 07:53:04+00:00,1.0,2.790951304719909,10.047424696991673
1517,-0.05431138,51.494769473,2025/01/14 07:53:05+00,2.808465150076703,2025-01-14 07:53:05+00:00,1.0,2.808465150076703,10.110474540276131
1518,-0.054336861,51.494783219,2025/01/14 07:53:06+00,3.2193450951177156,2025-01-14 07:53:06+00:00,1.0,3.2193450951177156,11.589642342423776
1519,-0.054362426,51.494796881,2025/01/14 07:53:07+00,3.2231558053010096,2025-01-14 07:53:07+00:00,1.0,3.2231558053010096,11.603360899083635
1520,-0.054392349,51.494812807,2025/01/14 07:53:08+00,3.7692016025677586,2025-01-14 07:53:08+00:00,1.0,3.7692016025677586,13.56912576924393
1521,-0.054422356,51.494828817,2025/01/14 07:53:09+00,3.7818372402114506,2025-01-14 07:53:09+00:00,1.0,3.7818372402114506,13.614614064761222
1522,-0.054454459,51.49484667,2025/01/14 07:53:10+00,4.084551454892607,2025-01-14 07:53:10+00:00,1.0,4.084551454892607,14.704385237613387
1523,-0.054486562,51.494864607,2025/01/14 07:53:11+00,4.089099182287653,2025-01-14 07:53:11+00:00,1.0,4.089099182287653,14.72075705623555
1524,-0.05452076,51.494886316,2025/01/14 07:53:12+00,4.504126789160144,2025-01-14 07:53:12+00:00,1.0,4.504126789160144,16.21485644097652
1525,-0.054555042,51.494908025,2025/01/14 07:53:13+00,4.51201524861521,2025-01-14 07:53:13+00:00,1.0,4.51201524861521,16.243254895014758
1526,-0.054593096,51.49493359,2025/01/14 07:53:14+00,5.09762411268497,2025-01-14 07:53:14+00:00,1.0,5.09762411268497,18.351446805665894
1527,-0.054631149,51.494959239,2025/01/14 07:53:15+00,5.102746465777082,2025-01-14 07:53:15+00:00,1.0,5.102746465777082,18.369887276797495
1528,-0.054671383,51.494982708,2025/01/14 07:53:16+00,5.179306681582635,2025-01-14 07:53:16+00:00,1.0,5.179306681582635,18.645504053697486
1529,-0.054711699,51.495006345,2025/01/14 07:53:17+00,5.196607923018899,2025-01-14 07:53:17+00:00,1.0,5.196607923018899,18.707788522868036
1530,-0.0547521,51.495025707,2025/01/14 07:53:18+00,4.9816413049728085,2025-01-14 07:53:18+00:00,1.0,4.9816413049728085,17.933908697902112
1531,-0.054792585,51.49504507,2025/01/14 07:53:19+00,4.990113953414685,2025-01-14 07:53:19+00:00,1.0,4.990113953414685,17.964410232292867
1532,-0.054825358,51.495063677,2025/01/14 07:53:20+00,4.190573241102994,2025-01-14 07:53:20+00:00,1.0,4.190573241102994,15.086063667970778
1533,-0.054858131,51.495082285,2025/01/14 07:53:21+00,4.190628142274222,2025-01-14 07:53:21+00:00,1.0,4.190628142274222,15.0862613121872
1534,-0.054881349,51.495100893,2025/01/14 07:53:22+00,3.3085543033619307,2025-01-14 07:53:22+00:00,1.0,3.3085543033619307,11.91079549210295
1535,-0.054904567,51.495119585,2025/01/14 07:53:23+00,3.314403626371142,2025-01-14 07:53:23+00:00,1.0,3.314403626371142,11.931853054936111
1536,-0.054926947,51.49514012,2025/01/14 07:53:24+00,3.377380450895705,2025-01-14 07:53:24+00:00,1.0,3.377380450895705,12.158569623224537
1537,-0.054949326,51.495160572,2025/01/14 07:53:25+00,3.3710655462954846,2025-01-14 07:53:25+00:00,1.0,3.3710655462954846,12.135835966663745
1538,-0.054976149,51.495184293,2025/01/14 07:53:26+00,3.9815837601867905,2025-01-14 07:53:26+00:00,1.0,3.9815837601867905,14.333701536672447
1539,-0.055002971,51.495208098,2025/01/14 07:53:27+00,3.987694385047135,2025-01-14 07:53:27+00:00,1.0,3.987694385047135,14.355699786169685
1540,-0.055031469,51.495230477,2025/01/14 07:53:28+00,4.029117415705015,2025-01-14 07:53:28+00:00,1.0,4.029117415705015,14.504822696538053
